2023-09-25 08:46:25,136 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 53,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.300,000,000 s)
2023-09-25 08:46:25,136 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 54,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.400,000,000 s)
2023-09-25 08:46:25,136 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 55,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.500,000,000 s)
2023-09-25 08:46:25,137 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 56,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.600,000,000 s)
2023-09-25 08:46:25,137 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 57,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.700,000,000 s)
2023-09-25 08:46:25,137 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 58,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.800,000,000 s)
2023-09-25 08:46:25,137 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 59,  41.63078756515844,  -71.00211999847372, Road CLOSED, }, Latitude= 41.63078756515844, Longitude= -71.00211999847372,  (at simulation time 12.900,000,000 s)
2023-09-25 08:46:25,140 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 60,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.000,000,000 s)
2023-09-25 08:46:25,141 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 61,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.100,000,000 s)
2023-09-25 08:46:25,141 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 62,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.200,000,000 s)
2023-09-25 08:46:25,141 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 63,  41.63084162437934,  -71.00214704716979, Road CLOSED, }, Latitude= 41.63084162437934, Longitude= -71.00214704716979,  (at simulation time 13.300,000,000 s)
