2023-09-25 08:47:01,077 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=39,  Latitude=41.6306721855144, Longitude= -71.00206300890233, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.900,000,000 s)
2023-09-25 08:47:01,077 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=29,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.6306721855144, Longitude= -71.00206300890233,  (at simulation time 10.901,800,000 s)
2023-09-25 08:47:01,078 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=40,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.000,000,000 s)
2023-09-25 08:47:01,079 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=30,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.002,300,000 s)
2023-09-25 08:47:01,079 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=41,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.100,000,000 s)
2023-09-25 08:47:01,079 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=31,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.104,800,000 s)
2023-09-25 08:47:01,079 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=42,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.200,000,000 s)
2023-09-25 08:47:01,080 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=32,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.202,800,000 s)
2023-09-25 08:47:01,080 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=43,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.300,000,000 s)
2023-09-25 08:47:01,080 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=33,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.302,300,000 s)
2023-09-25 08:47:01,080 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=44,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.400,000,000 s)
2023-09-25 08:47:01,081 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=34,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.404,300,000 s)
2023-09-25 08:47:01,081 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=45,  Latitude=41.630730807073064, Longitude= -71.00209196387308, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.500,000,000 s)
2023-09-25 08:47:01,081 INFO  - ,Received V2X Message from ,rsu_0, InterVehicleMsg{,Msg Id=28, SeqNum=35,  Latitude=41.62984225180874, Longitude= -71.00160289947058, Road CLOSED, }, Latitude= 41.630730807073064, Longitude= -71.00209196387308,  (at simulation time 11.501,800,000 s)
