2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 371,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.101,900,000 s)
2023-09-25 08:46:32,653 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 452,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.200,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 372,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.200,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 453,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.300,900,000 s)
2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 373,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.300,900,000 s)
2023-09-25 08:46:32,653 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 454,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.402,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 374,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.402,400,000 s)
2023-09-25 08:46:32,653 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 455,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.501,900,000 s)
2023-09-25 08:46:32,653 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 375,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.501,900,000 s)
2023-09-25 08:46:32,654 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 456,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.602,400,000 s)
2023-09-25 08:46:32,654 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 376,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.602,400,000 s)
2023-09-25 08:46:32,654 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 457,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.700,900,000 s)
2023-09-25 08:46:32,654 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 377,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.700,900,000 s)
2023-09-25 08:46:32,654 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 458,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.800,900,000 s)
2023-09-25 08:46:32,654 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 378,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.800,900,000 s)
2023-09-25 08:46:32,654 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 459,  41.6323371773873,  -71.0044351146254, Road CLOSED, } (at simulation time 52.900,400,000 s)
2023-09-25 08:46:32,654 INFO  - ,Broadcasting V2X Message ,rsu_2, InterVehicleMsg{,30, 379,  41.632382935740885,  -71.0077086334615, Road CLOSED, } (at simulation time 52.900,400,000 s)
2023-09-25 08:46:32,656 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 460,  41.632349502655764,  -71.00451139899323, Road CLOSED, } (at simulation time 53.001,900,000 s)
