2023-05-03 21:45:51,899 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=56,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.600,000,000 s)
2023-05-03 21:45:51,899 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=57,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.700,000,000 s)
2023-05-03 21:45:51,899 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=58,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.800,000,000 s)
2023-05-03 21:45:51,900 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=59,  Latitude=41.63078756515844, Longitude= -71.00211999847372, Road CLOSED, } (at simulation time 12.900,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=60,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.000,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=61,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.100,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=62,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.200,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=63,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.300,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=64,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.400,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=65,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.500,000,000 s)
2023-05-03 21:45:51,902 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=66,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.600,000,000 s)
2023-05-03 21:45:51,903 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=67,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.700,000,000 s)
2023-05-03 21:45:51,903 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=68,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.800,000,000 s)
2023-05-03 21:45:51,903 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=69,  Latitude=41.63084162437934, Longitude= -71.00214704716979, Road CLOSED, } (at simulation time 13.900,000,000 s)
2023-05-03 21:45:51,904 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=70,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.000,000,000 s)
2023-05-03 21:45:51,904 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=71,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.100,000,000 s)
2023-05-03 21:45:51,904 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=72,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.200,000,000 s)
2023-05-03 21:45:51,905 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=73,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.300,000,000 s)
2023-05-03 21:45:51,905 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=74,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.400,000,000 s)
2023-05-03 21:45:51,905 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=75,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.500,000,000 s)
2023-05-03 21:45:51,905 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=76,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.600,000,000 s)
2023-05-03 21:45:51,905 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=77,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.700,000,000 s)
2023-05-03 21:45:51,906 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=78,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.800,000,000 s)
2023-05-03 21:45:51,906 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=79,  Latitude=41.630900296168306, Longitude= -71.00218020791037, Road CLOSED, } (at simulation time 14.900,000,000 s)
2023-05-03 21:45:51,910 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=80,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.000,000,000 s)
2023-05-03 21:45:51,911 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=81,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.100,000,000 s)
2023-05-03 21:45:51,911 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=82,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.200,000,000 s)
2023-05-03 21:45:51,911 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=83,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.300,000,000 s)
2023-05-03 21:45:51,911 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=84,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.400,000,000 s)
2023-05-03 21:45:51,911 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=85,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.500,000,000 s)
2023-05-03 21:45:51,912 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=86,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.600,000,000 s)
2023-05-03 21:45:51,912 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=87,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.700,000,000 s)
2023-05-03 21:45:51,912 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=88,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.800,000,000 s)
2023-05-03 21:45:51,912 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=89,  Latitude=41.6309561767631, Longitude= -71.00221179115795, Road CLOSED, } (at simulation time 15.900,000,000 s)
2023-05-03 21:45:51,913 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=90,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.000,000,000 s)
2023-05-03 21:45:51,913 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=91,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.100,000,000 s)
2023-05-03 21:45:51,914 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=92,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.200,000,000 s)
2023-05-03 21:45:51,914 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=93,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.300,000,000 s)
2023-05-03 21:45:51,914 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=94,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.400,000,000 s)
2023-05-03 21:45:51,914 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=95,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.500,000,000 s)
2023-05-03 21:45:51,914 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=96,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.600,000,000 s)
2023-05-03 21:45:51,915 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=97,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.700,000,000 s)
2023-05-03 21:45:51,915 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=98,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.800,000,000 s)
2023-05-03 21:45:51,915 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=99,  Latitude=41.63100502317745, Longitude= -71.0022419618362, Road CLOSED, } (at simulation time 16.900,000,000 s)
2023-05-03 21:45:51,988 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=100,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.000,000,000 s)
2023-05-03 21:45:51,989 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=101,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.100,000,000 s)
2023-05-03 21:45:51,989 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=102,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.200,000,000 s)
2023-05-03 21:45:51,989 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=103,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.300,000,000 s)
2023-05-03 21:45:51,990 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=104,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.400,000,000 s)
2023-05-03 21:45:51,990 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=105,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.500,000,000 s)
2023-05-03 21:45:51,990 INFO  - ,Sending V2X Message ,veh_1, InterVehicleMsg{,Msg Id=77, SeqNum=106,  Latitude=41.631053328432884, Longitude= -71.0022743729879, Road CLOSED, } (at simulation time 17.600,000,000 s)
